,REPORT
6214,1. there is questioned architectural distortion in the right breast.
6215,1. there is questioned architectural distortion in the right breast at anterior depth.
6216,1. there is questioned architectural distortion in the right breast at mid depth.
6217,1. there is questioned architectural distortion in the right breast at posterior depth.
6218,1. there is questioned architectural distortion in the upper right breast.
6219,1. there is questioned architectural distortion in the upper right breast at anterior depth.
6220,1. there is questioned architectural distortion in the upper right breast at mid depth.
6221,1. there is questioned architectural distortion in the upper right breast at posterior depth.
6222,1. there is questioned architectural distortion in the lower right breast.
6223,1. there is questioned architectural distortion in the lower right breast at anterior depth.
6224,1. there is questioned architectural distortion in the lower right breast at mid depth.
6225,1. there is questioned architectural distortion in the lower right breast at posterior depth.
6226,1. there is questioned architectural distortion in the inner right breast.
6227,1. there is questioned architectural distortion in the inner right breast at anterior depth.
6228,1. there is questioned architectural distortion in the inner right breast at mid depth.
6229,1. there is questioned architectural distortion in the inner right breast at posterior depth.
6230,1. there is questioned architectural distortion in the outer right breast.
6231,1. there is questioned architectural distortion in the outer right breast at anterior depth.
6232,1. there is questioned architectural distortion in the outer right breast at mid depth.
6233,1. there is questioned architectural distortion in the outer right breast at posterior depth.
6234,1. there is questioned architectural distortion in the upper outer right breast.
6235,1. there is questioned architectural distortion in the upper outer right breast at anterior depth.
6236,1. there is questioned architectural distortion in the upper outer right breast at mid depth.
6237,1. there is questioned architectural distortion in the upper outer right breast at posterior depth.
6238,1. there is questioned architectural distortion in the upper inner right breast.
6239,1. there is questioned architectural distortion in the upper inner right breast at anterior depth.
6240,1. there is questioned architectural distortion in the upper inner right breast at mid depth.
6241,1. there is questioned architectural distortion in the upper inner right breast at posterior depth.
6242,1. there is questioned architectural distortion in the lower outer right breast.
6243,1. there is questioned architectural distortion in the lower outer right breast at anterior depth.
6244,1. there is questioned architectural distortion in the lower outer right breast at mid depth.
6245,1. there is questioned architectural distortion in the lower outer right breast at posterior depth.
6246,1. there is questioned architectural distortion in the lower inner right breast.
6247,1. there is questioned architectural distortion in the lower inner right breast at anterior depth.
6248,1. there is questioned architectural distortion in the lower inner right breast at mid depth.
6249,1. there is questioned architectural distortion in the lower inner right breast at posterior depth.
6250,1. there is questioned architectural distortion in the subareolar right breast.
6251,1. there is questioned architectural distortion in the subareolar right breast at anterior depth.
6252,1. there is questioned architectural distortion in the subareolar right breast at mid depth.
6253,1. there is questioned architectural distortion in the subareolar right breast at posterior depth.
6254,1. there is questionable architectural distortion in the right breast.
6255,1. there is questionable architectural distortion in the right breast at anterior depth.
6256,1. there is questionable architectural distortion in the right breast at mid depth.
6257,1. there is questionable architectural distortion in the right breast at posterior depth.
6258,1. there is questionable architectural distortion in the upper right breast.
6259,1. there is questionable architectural distortion in the upper right breast at anterior depth.
6260,1. there is questionable architectural distortion in the upper right breast at mid depth.
6261,1. there is questionable architectural distortion in the upper right breast at posterior depth.
6262,1. there is questionable architectural distortion in the lower right breast.
6263,1. there is questionable architectural distortion in the lower right breast at anterior depth.
6264,1. there is questionable architectural distortion in the lower right breast at mid depth.
6265,1. there is questionable architectural distortion in the lower right breast at posterior depth.
6266,1. there is questionable architectural distortion in the inner right breast.
6267,1. there is questionable architectural distortion in the inner right breast at anterior depth.
6268,1. there is questionable architectural distortion in the inner right breast at mid depth.
6269,1. there is questionable architectural distortion in the inner right breast at posterior depth.
6270,1. there is questionable architectural distortion in the outer right breast.
6271,1. there is questionable architectural distortion in the outer right breast at anterior depth.
6272,1. there is questionable architectural distortion in the outer right breast at mid depth.
6273,1. there is questionable architectural distortion in the outer right breast at posterior depth.
6274,1. there is questionable architectural distortion in the upper outer right breast.
6275,1. there is questionable architectural distortion in the upper outer right breast at anterior depth.
6276,1. there is questionable architectural distortion in the upper outer right breast at mid depth.
6277,1. there is questionable architectural distortion in the upper outer right breast at posterior depth.
6278,1. there is questionable architectural distortion in the upper inner right breast.
6279,1. there is questionable architectural distortion in the upper inner right breast at anterior depth.
6280,1. there is questionable architectural distortion in the upper inner right breast at mid depth.
6281,1. there is questionable architectural distortion in the upper inner right breast at posterior depth.
6282,1. there is questionable architectural distortion in the lower outer right breast.
6283,1. there is questionable architectural distortion in the lower outer right breast at anterior depth.
6284,1. there is questionable architectural distortion in the lower outer right breast at mid depth.
6285,1. there is questionable architectural distortion in the lower outer right breast at posterior depth.
6286,1. there is questionable architectural distortion in the lower inner right breast.
6287,1. there is questionable architectural distortion in the lower inner right breast at anterior depth.
6288,1. there is questionable architectural distortion in the lower inner right breast at mid depth.
6289,1. there is questionable architectural distortion in the lower inner right breast at posterior depth.
6290,1. there is questionable architectural distortion in the subareolar right breast.
6291,1. there is questionable architectural distortion in the subareolar right breast at anterior depth.
6292,1. there is questionable architectural distortion in the subareolar right breast at mid depth.
6293,1. there is questionable architectural distortion in the subareolar right breast at posterior depth.
6294,1. there is an area of architectural distortion in the right breast.
6295,1. there is an area of architectural distortion in the right breast at anterior depth.
6296,1. there is an area of architectural distortion in the right breast at mid depth.
6297,1. there is an area of architectural distortion in the right breast at posterior depth.
6298,1. there is an area of architectural distortion in the upper right breast.
6299,1. there is an area of architectural distortion in the upper right breast at anterior depth.
6300,1. there is an area of architectural distortion in the upper right breast at mid depth.
6301,1. there is an area of architectural distortion in the upper right breast at posterior depth.
6302,1. there is an area of architectural distortion in the lower right breast.
6303,1. there is an area of architectural distortion in the lower right breast at anterior depth.
6304,1. there is an area of architectural distortion in the lower right breast at mid depth.
6305,1. there is an area of architectural distortion in the lower right breast at posterior depth.
6306,1. there is an area of architectural distortion in the inner right breast.
6307,1. there is an area of architectural distortion in the inner right breast at anterior depth.
6308,1. there is an area of architectural distortion in the inner right breast at mid depth.
6309,1. there is an area of architectural distortion in the inner right breast at posterior depth.
6310,1. there is an area of architectural distortion in the outer right breast.
6311,1. there is an area of architectural distortion in the outer right breast at anterior depth.
6312,1. there is an area of architectural distortion in the outer right breast at mid depth.
6313,1. there is an area of architectural distortion in the outer right breast at posterior depth.
6314,1. there is an area of architectural distortion in the upper outer right breast.
6315,1. there is an area of architectural distortion in the upper outer right breast at anterior depth.
6316,1. there is an area of architectural distortion in the upper outer right breast at mid depth.
6317,1. there is an area of architectural distortion in the upper outer right breast at posterior depth.
6318,1. there is an area of architectural distortion in the upper inner right breast.
6319,1. there is an area of architectural distortion in the upper inner right breast at anterior depth.
6320,1. there is an area of architectural distortion in the upper inner right breast at mid depth.
6321,1. there is an area of architectural distortion in the upper inner right breast at posterior depth.
6322,1. there is an area of architectural distortion in the lower outer right breast.
6323,1. there is an area of architectural distortion in the lower outer right breast at anterior depth.
6324,1. there is an area of architectural distortion in the lower outer right breast at mid depth.
6325,1. there is an area of architectural distortion in the lower outer right breast at posterior depth.
6326,1. there is an area of architectural distortion in the lower inner right breast.
6327,1. there is an area of architectural distortion in the lower inner right breast at anterior depth.
6328,1. there is an area of architectural distortion in the lower inner right breast at mid depth.
6329,1. there is an area of architectural distortion in the lower inner right breast at posterior depth.
6330,1. there is an area of architectural distortion in the subareolar right breast.
6331,1. there is an area of architectural distortion in the subareolar right breast at anterior depth.
6332,1. there is an area of architectural distortion in the subareolar right breast at mid depth.
6333,1. there is an area of architectural distortion in the subareolar right breast at posterior depth.
6334,1. there is an area of suspicious architectural distortion in the right breast.
6335,1. there is an area of suspicious architectural distortion in the right breast at anterior depth.
6336,1. there is an area of suspicious architectural distortion in the right breast at mid depth.
6337,1. there is an area of suspicious architectural distortion in the right breast at posterior depth.
6338,1. there is an area of suspicious architectural distortion in the upper right breast.
6339,1. there is an area of suspicious architectural distortion in the upper right breast at anterior depth.
6340,1. there is an area of suspicious architectural distortion in the upper right breast at mid depth.
6341,1. there is an area of suspicious architectural distortion in the upper right breast at posterior depth.
6342,1. there is an area of suspicious architectural distortion in the lower right breast.
6343,1. there is an area of suspicious architectural distortion in the lower right breast at anterior depth.
6344,1. there is an area of suspicious architectural distortion in the lower right breast at mid depth.
6345,1. there is an area of suspicious architectural distortion in the lower right breast at posterior depth.
6346,1. there is an area of suspicious architectural distortion in the inner right breast.
6347,1. there is an area of suspicious architectural distortion in the inner right breast at anterior depth.
6348,1. there is an area of suspicious architectural distortion in the inner right breast at mid depth.
6349,1. there is an area of suspicious architectural distortion in the inner right breast at posterior depth.
6350,1. there is an area of suspicious architectural distortion in the outer right breast.
6351,1. there is an area of suspicious architectural distortion in the outer right breast at anterior depth.
6352,1. there is an area of suspicious architectural distortion in the outer right breast at mid depth.
6353,1. there is an area of suspicious architectural distortion in the outer right breast at posterior depth.
6354,1. there is an area of suspicious architectural distortion in the upper outer right breast.
6355,1. there is an area of suspicious architectural distortion in the upper outer right breast at anterior depth.
6356,1. there is an area of suspicious architectural distortion in the upper outer right breast at mid depth.
6357,1. there is an area of suspicious architectural distortion in the upper outer right breast at posterior depth.
6358,1. there is an area of suspicious architectural distortion in the upper inner right breast.
6359,1. there is an area of suspicious architectural distortion in the upper inner right breast at anterior depth.
6360,1. there is an area of suspicious architectural distortion in the upper inner right breast at mid depth.
6361,1. there is an area of suspicious architectural distortion in the upper inner right breast at posterior depth.
6362,1. there is an area of suspicious architectural distortion in the lower outer right breast.
6363,1. there is an area of suspicious architectural distortion in the lower outer right breast at anterior depth.
6364,1. there is an area of suspicious architectural distortion in the lower outer right breast at mid depth.
6365,1. there is an area of suspicious architectural distortion in the lower outer right breast at posterior depth.
6366,1. there is an area of suspicious architectural distortion in the lower inner right breast.
6367,1. there is an area of suspicious architectural distortion in the lower inner right breast at anterior depth.
6368,1. there is an area of suspicious architectural distortion in the lower inner right breast at mid depth.
6369,1. there is an area of suspicious architectural distortion in the lower inner right breast at posterior depth.
6370,1. there is an area of suspicious architectural distortion in the subareolar right breast.
6371,1. there is an area of suspicious architectural distortion in the subareolar right breast at anterior depth.
6372,1. there is an area of suspicious architectural distortion in the subareolar right breast at mid depth.
6373,1. there is an area of suspicious architectural distortion in the subareolar right breast at posterior depth.
6374,1. there is an area of possible architectural distortion in the right breast.
6375,1. there is an area of possible architectural distortion in the right breast at anterior depth.
6376,1. there is an area of possible architectural distortion in the right breast at mid depth.
6377,1. there is an area of possible architectural distortion in the right breast at posterior depth.
6378,1. there is an area of possible architectural distortion in the upper right breast.
6379,1. there is an area of possible architectural distortion in the upper right breast at anterior depth.
6380,1. there is an area of possible architectural distortion in the upper right breast at mid depth.
6381,1. there is an area of possible architectural distortion in the upper right breast at posterior depth.
6382,1. there is an area of possible architectural distortion in the lower right breast.
6383,1. there is an area of possible architectural distortion in the lower right breast at anterior depth.
6384,1. there is an area of possible architectural distortion in the lower right breast at mid depth.
6385,1. there is an area of possible architectural distortion in the lower right breast at posterior depth.
6386,1. there is an area of possible architectural distortion in the inner right breast.
6387,1. there is an area of possible architectural distortion in the inner right breast at anterior depth.
6388,1. there is an area of possible architectural distortion in the inner right breast at mid depth.
6389,1. there is an area of possible architectural distortion in the inner right breast at posterior depth.
6390,1. there is an area of possible architectural distortion in the outer right breast.
6391,1. there is an area of possible architectural distortion in the outer right breast at anterior depth.
6392,1. there is an area of possible architectural distortion in the outer right breast at mid depth.
6393,1. there is an area of possible architectural distortion in the outer right breast at posterior depth.
6394,1. there is an area of possible architectural distortion in the upper outer right breast.
6395,1. there is an area of possible architectural distortion in the upper outer right breast at anterior depth.
6396,1. there is an area of possible architectural distortion in the upper outer right breast at mid depth.
6397,1. there is an area of possible architectural distortion in the upper outer right breast at posterior depth.
6398,1. there is an area of possible architectural distortion in the upper inner right breast.
6399,1. there is an area of possible architectural distortion in the upper inner right breast at anterior depth.
6400,1. there is an area of possible architectural distortion in the upper inner right breast at mid depth.
6401,1. there is an area of possible architectural distortion in the upper inner right breast at posterior depth.
6402,1. there is an area of possible architectural distortion in the lower outer right breast.
6403,1. there is an area of possible architectural distortion in the lower outer right breast at anterior depth.
6404,1. there is an area of possible architectural distortion in the lower outer right breast at mid depth.
6405,1. there is an area of possible architectural distortion in the lower outer right breast at posterior depth.
6406,1. there is an area of possible architectural distortion in the lower inner right breast.
6407,1. there is an area of possible architectural distortion in the lower inner right breast at anterior depth.
6408,1. there is an area of possible architectural distortion in the lower inner right breast at mid depth.
6409,1. there is an area of possible architectural distortion in the lower inner right breast at posterior depth.
6410,1. there is an area of possible architectural distortion in the subareolar right breast.
6411,1. there is an area of possible architectural distortion in the subareolar right breast at anterior depth.
6412,1. there is an area of possible architectural distortion in the subareolar right breast at mid depth.
6413,1. there is an area of possible architectural distortion in the subareolar right breast at posterior depth.
6414,1. there is an area of questioned architectural distortion in the right breast.
6415,1. there is an area of questioned architectural distortion in the right breast at anterior depth.
6416,1. there is an area of questioned architectural distortion in the right breast at mid depth.
6417,1. there is an area of questioned architectural distortion in the right breast at posterior depth.
6418,1. there is an area of questioned architectural distortion in the upper right breast.
6419,1. there is an area of questioned architectural distortion in the upper right breast at anterior depth.
6420,1. there is an area of questioned architectural distortion in the upper right breast at mid depth.
6421,1. there is an area of questioned architectural distortion in the upper right breast at posterior depth.
6422,1. there is an area of questioned architectural distortion in the lower right breast.
6423,1. there is an area of questioned architectural distortion in the lower right breast at anterior depth.
6424,1. there is an area of questioned architectural distortion in the lower right breast at mid depth.
6425,1. there is an area of questioned architectural distortion in the lower right breast at posterior depth.
6426,1. there is an area of questioned architectural distortion in the inner right breast.
6427,1. there is an area of questioned architectural distortion in the inner right breast at anterior depth.
6428,1. there is an area of questioned architectural distortion in the inner right breast at mid depth.
6429,1. there is an area of questioned architectural distortion in the inner right breast at posterior depth.
6430,1. there is an area of questioned architectural distortion in the outer right breast.
6431,1. there is an area of questioned architectural distortion in the outer right breast at anterior depth.
6432,1. there is an area of questioned architectural distortion in the outer right breast at mid depth.
6433,1. there is an area of questioned architectural distortion in the outer right breast at posterior depth.
6434,1. there is an area of questioned architectural distortion in the upper outer right breast.
6435,1. there is an area of questioned architectural distortion in the upper outer right breast at anterior depth.
6436,1. there is an area of questioned architectural distortion in the upper outer right breast at mid depth.
6437,1. there is an area of questioned architectural distortion in the upper outer right breast at posterior depth.
6438,1. there is an area of questioned architectural distortion in the upper inner right breast.
6439,1. there is an area of questioned architectural distortion in the upper inner right breast at anterior depth.
6440,1. there is an area of questioned architectural distortion in the upper inner right breast at mid depth.
6441,1. there is an area of questioned architectural distortion in the upper inner right breast at posterior depth.
6442,1. there is an area of questioned architectural distortion in the lower outer right breast.
6443,1. there is an area of questioned architectural distortion in the lower outer right breast at anterior depth.
6444,1. there is an area of questioned architectural distortion in the lower outer right breast at mid depth.
6445,1. there is an area of questioned architectural distortion in the lower outer right breast at posterior depth.
6446,1. there is an area of questioned architectural distortion in the lower inner right breast.
6447,1. there is an area of questioned architectural distortion in the lower inner right breast at anterior depth.
6448,1. there is an area of questioned architectural distortion in the lower inner right breast at mid depth.
6449,1. there is an area of questioned architectural distortion in the lower inner right breast at posterior depth.
6450,1. there is an area of questioned architectural distortion in the subareolar right breast.
6451,1. there is an area of questioned architectural distortion in the subareolar right breast at anterior depth.
6452,1. there is an area of questioned architectural distortion in the subareolar right breast at mid depth.
6453,1. there is an area of questioned architectural distortion in the subareolar right breast at posterior depth.
6454,1. there is an area of questionable architectural distortion in the right breast.
6455,1. there is an area of questionable architectural distortion in the right breast at anterior depth.
6456,1. there is an area of questionable architectural distortion in the right breast at mid depth.
6457,1. there is an area of questionable architectural distortion in the right breast at posterior depth.
6458,1. there is an area of questionable architectural distortion in the upper right breast.
6459,1. there is an area of questionable architectural distortion in the upper right breast at anterior depth.
6460,1. there is an area of questionable architectural distortion in the upper right breast at mid depth.
6461,1. there is an area of questionable architectural distortion in the upper right breast at posterior depth.
6462,1. there is an area of questionable architectural distortion in the lower right breast.
6463,1. there is an area of questionable architectural distortion in the lower right breast at anterior depth.
6464,1. there is an area of questionable architectural distortion in the lower right breast at mid depth.
6465,1. there is an area of questionable architectural distortion in the lower right breast at posterior depth.
6466,1. there is an area of questionable architectural distortion in the inner right breast.
6467,1. there is an area of questionable architectural distortion in the inner right breast at anterior depth.
6468,1. there is an area of questionable architectural distortion in the inner right breast at mid depth.
6469,1. there is an area of questionable architectural distortion in the inner right breast at posterior depth.
6470,1. there is an area of questionable architectural distortion in the outer right breast.
6471,1. there is an area of questionable architectural distortion in the outer right breast at anterior depth.
6472,1. there is an area of questionable architectural distortion in the outer right breast at mid depth.
6473,1. there is an area of questionable architectural distortion in the outer right breast at posterior depth.
6474,1. there is an area of questionable architectural distortion in the upper outer right breast.
6475,1. there is an area of questionable architectural distortion in the upper outer right breast at anterior depth.
6476,1. there is an area of questionable architectural distortion in the upper outer right breast at mid depth.
6477,1. there is an area of questionable architectural distortion in the upper outer right breast at posterior depth.
6478,1. there is an area of questionable architectural distortion in the upper inner right breast.
6479,1. there is an area of questionable architectural distortion in the upper inner right breast at anterior depth.
6480,1. there is an area of questionable architectural distortion in the upper inner right breast at mid depth.
6481,1. there is an area of questionable architectural distortion in the upper inner right breast at posterior depth.
6482,1. there is an area of questionable architectural distortion in the lower outer right breast.
6483,1. there is an area of questionable architectural distortion in the lower outer right breast at anterior depth.
6484,1. there is an area of questionable architectural distortion in the lower outer right breast at mid depth.
6485,1. there is an area of questionable architectural distortion in the lower outer right breast at posterior depth.
6486,1. there is an area of questionable architectural distortion in the lower inner right breast.
6487,1. there is an area of questionable architectural distortion in the lower inner right breast at anterior depth.
6488,1. there is an area of questionable architectural distortion in the lower inner right breast at mid depth.
6489,1. there is an area of questionable architectural distortion in the lower inner right breast at posterior depth.
6490,1. there is an area of questionable architectural distortion in the subareolar right breast.
6491,1. there is an area of questionable architectural distortion in the subareolar right breast at anterior depth.
6492,1. there is an area of questionable architectural distortion in the subareolar right breast at mid depth.
6493,1. there is an area of questionable architectural distortion in the subareolar right breast at posterior depth.
6494,1. there is  architectural distortion in the left breast.
6495,1. there is  architectural distortion in the left breast at anterior depth.
6496,1. there is  architectural distortion in the left breast at mid depth.
6497,1. there is  architectural distortion in the left breast at posterior depth.
6498,1. there is  architectural distortion in the upper left breast.
6499,1. there is  architectural distortion in the upper left breast at anterior depth.
6500,1. there is  architectural distortion in the upper left breast at mid depth.
6501,1. there is  architectural distortion in the upper left breast at posterior depth.
6502,1. there is  architectural distortion in the lower left breast.
6503,1. there is  architectural distortion in the lower left breast at anterior depth.
6504,1. there is  architectural distortion in the lower left breast at mid depth.
6505,1. there is  architectural distortion in the lower left breast at posterior depth.
6506,1. there is  architectural distortion in the inner left breast.
6507,1. there is  architectural distortion in the inner left breast at anterior depth.
6508,1. there is  architectural distortion in the inner left breast at mid depth.
6509,1. there is  architectural distortion in the inner left breast at posterior depth.
6510,1. there is  architectural distortion in the outer left breast.
6511,1. there is  architectural distortion in the outer left breast at anterior depth.
6512,1. there is  architectural distortion in the outer left breast at mid depth.
6513,1. there is  architectural distortion in the outer left breast at posterior depth.
6514,1. there is  architectural distortion in the upper outer left breast.
6515,1. there is  architectural distortion in the upper outer left breast at anterior depth.
6516,1. there is  architectural distortion in the upper outer left breast at mid depth.
6517,1. there is  architectural distortion in the upper outer left breast at posterior depth.
6518,1. there is  architectural distortion in the upper inner left breast.
6519,1. there is  architectural distortion in the upper inner left breast at anterior depth.
6520,1. there is  architectural distortion in the upper inner left breast at mid depth.
6521,1. there is  architectural distortion in the upper inner left breast at posterior depth.
6522,1. there is  architectural distortion in the lower outer left breast.
6523,1. there is  architectural distortion in the lower outer left breast at anterior depth.
6524,1. there is  architectural distortion in the lower outer left breast at mid depth.
6525,1. there is  architectural distortion in the lower outer left breast at posterior depth.
6526,1. there is  architectural distortion in the lower inner left breast.
6527,1. there is  architectural distortion in the lower inner left breast at anterior depth.
6528,1. there is  architectural distortion in the lower inner left breast at mid depth.
6529,1. there is  architectural distortion in the lower inner left breast at posterior depth.
6530,1. there is  architectural distortion in the subareolar left breast.
6531,1. there is  architectural distortion in the subareolar left breast at anterior depth.
6532,1. there is  architectural distortion in the subareolar left breast at mid depth.
6533,1. there is  architectural distortion in the subareolar left breast at posterior depth.
6534,1. there is suspicious architectural distortion in the left breast.
6535,1. there is suspicious architectural distortion in the left breast at anterior depth.
6536,1. there is suspicious architectural distortion in the left breast at mid depth.
6537,1. there is suspicious architectural distortion in the left breast at posterior depth.
6538,1. there is suspicious architectural distortion in the upper left breast.
6539,1. there is suspicious architectural distortion in the upper left breast at anterior depth.
6540,1. there is suspicious architectural distortion in the upper left breast at mid depth.
6541,1. there is suspicious architectural distortion in the upper left breast at posterior depth.
6542,1. there is suspicious architectural distortion in the lower left breast.
6543,1. there is suspicious architectural distortion in the lower left breast at anterior depth.
6544,1. there is suspicious architectural distortion in the lower left breast at mid depth.
6545,1. there is suspicious architectural distortion in the lower left breast at posterior depth.
6546,1. there is suspicious architectural distortion in the inner left breast.
6547,1. there is suspicious architectural distortion in the inner left breast at anterior depth.
6548,1. there is suspicious architectural distortion in the inner left breast at mid depth.
6549,1. there is suspicious architectural distortion in the inner left breast at posterior depth.
6550,1. there is suspicious architectural distortion in the outer left breast.
6551,1. there is suspicious architectural distortion in the outer left breast at anterior depth.
6552,1. there is suspicious architectural distortion in the outer left breast at mid depth.
6553,1. there is suspicious architectural distortion in the outer left breast at posterior depth.
6554,1. there is suspicious architectural distortion in the upper outer left breast.
6555,1. there is suspicious architectural distortion in the upper outer left breast at anterior depth.
6556,1. there is suspicious architectural distortion in the upper outer left breast at mid depth.
6557,1. there is suspicious architectural distortion in the upper outer left breast at posterior depth.
6558,1. there is suspicious architectural distortion in the upper inner left breast.
6559,1. there is suspicious architectural distortion in the upper inner left breast at anterior depth.
6560,1. there is suspicious architectural distortion in the upper inner left breast at mid depth.
6561,1. there is suspicious architectural distortion in the upper inner left breast at posterior depth.
6562,1. there is suspicious architectural distortion in the lower outer left breast.
6563,1. there is suspicious architectural distortion in the lower outer left breast at anterior depth.
6564,1. there is suspicious architectural distortion in the lower outer left breast at mid depth.
6565,1. there is suspicious architectural distortion in the lower outer left breast at posterior depth.
6566,1. there is suspicious architectural distortion in the lower inner left breast.
6567,1. there is suspicious architectural distortion in the lower inner left breast at anterior depth.
6568,1. there is suspicious architectural distortion in the lower inner left breast at mid depth.
6569,1. there is suspicious architectural distortion in the lower inner left breast at posterior depth.
6570,1. there is suspicious architectural distortion in the subareolar left breast.
6571,1. there is suspicious architectural distortion in the subareolar left breast at anterior depth.
6572,1. there is suspicious architectural distortion in the subareolar left breast at mid depth.
6573,1. there is suspicious architectural distortion in the subareolar left breast at posterior depth.
6574,1. there is possible architectural distortion in the left breast.
6575,1. there is possible architectural distortion in the left breast at anterior depth.
6576,1. there is possible architectural distortion in the left breast at mid depth.
6577,1. there is possible architectural distortion in the left breast at posterior depth.
6578,1. there is possible architectural distortion in the upper left breast.
6579,1. there is possible architectural distortion in the upper left breast at anterior depth.
6580,1. there is possible architectural distortion in the upper left breast at mid depth.
6581,1. there is possible architectural distortion in the upper left breast at posterior depth.
6582,1. there is possible architectural distortion in the lower left breast.
6583,1. there is possible architectural distortion in the lower left breast at anterior depth.
6584,1. there is possible architectural distortion in the lower left breast at mid depth.
6585,1. there is possible architectural distortion in the lower left breast at posterior depth.
6586,1. there is possible architectural distortion in the inner left breast.
6587,1. there is possible architectural distortion in the inner left breast at anterior depth.
6588,1. there is possible architectural distortion in the inner left breast at mid depth.
6589,1. there is possible architectural distortion in the inner left breast at posterior depth.
6590,1. there is possible architectural distortion in the outer left breast.
6591,1. there is possible architectural distortion in the outer left breast at anterior depth.
6592,1. there is possible architectural distortion in the outer left breast at mid depth.
6593,1. there is possible architectural distortion in the outer left breast at posterior depth.
6594,1. there is possible architectural distortion in the upper outer left breast.
6595,1. there is possible architectural distortion in the upper outer left breast at anterior depth.
6596,1. there is possible architectural distortion in the upper outer left breast at mid depth.
6597,1. there is possible architectural distortion in the upper outer left breast at posterior depth.
6598,1. there is possible architectural distortion in the upper inner left breast.
6599,1. there is possible architectural distortion in the upper inner left breast at anterior depth.
6600,1. there is possible architectural distortion in the upper inner left breast at mid depth.
6601,1. there is possible architectural distortion in the upper inner left breast at posterior depth.
6602,1. there is possible architectural distortion in the lower outer left breast.
6603,1. there is possible architectural distortion in the lower outer left breast at anterior depth.
6604,1. there is possible architectural distortion in the lower outer left breast at mid depth.
6605,1. there is possible architectural distortion in the lower outer left breast at posterior depth.
6606,1. there is possible architectural distortion in the lower inner left breast.
6607,1. there is possible architectural distortion in the lower inner left breast at anterior depth.
6608,1. there is possible architectural distortion in the lower inner left breast at mid depth.
6609,1. there is possible architectural distortion in the lower inner left breast at posterior depth.
6610,1. there is possible architectural distortion in the subareolar left breast.
6611,1. there is possible architectural distortion in the subareolar left breast at anterior depth.
6612,1. there is possible architectural distortion in the subareolar left breast at mid depth.
6613,1. there is possible architectural distortion in the subareolar left breast at posterior depth.
6614,1. there is questioned architectural distortion in the left breast.
6615,1. there is questioned architectural distortion in the left breast at anterior depth.
6616,1. there is questioned architectural distortion in the left breast at mid depth.
6617,1. there is questioned architectural distortion in the left breast at posterior depth.
6618,1. there is questioned architectural distortion in the upper left breast.
6619,1. there is questioned architectural distortion in the upper left breast at anterior depth.
6620,1. there is questioned architectural distortion in the upper left breast at mid depth.
6621,1. there is questioned architectural distortion in the upper left breast at posterior depth.
6622,1. there is questioned architectural distortion in the lower left breast.
6623,1. there is questioned architectural distortion in the lower left breast at anterior depth.
6624,1. there is questioned architectural distortion in the lower left breast at mid depth.
6625,1. there is questioned architectural distortion in the lower left breast at posterior depth.
6626,1. there is questioned architectural distortion in the inner left breast.
6627,1. there is questioned architectural distortion in the inner left breast at anterior depth.
6628,1. there is questioned architectural distortion in the inner left breast at mid depth.
6629,1. there is questioned architectural distortion in the inner left breast at posterior depth.
6630,1. there is questioned architectural distortion in the outer left breast.
6631,1. there is questioned architectural distortion in the outer left breast at anterior depth.
6632,1. there is questioned architectural distortion in the outer left breast at mid depth.
6633,1. there is questioned architectural distortion in the outer left breast at posterior depth.
6634,1. there is questioned architectural distortion in the upper outer left breast.
6635,1. there is questioned architectural distortion in the upper outer left breast at anterior depth.
6636,1. there is questioned architectural distortion in the upper outer left breast at mid depth.
6637,1. there is questioned architectural distortion in the upper outer left breast at posterior depth.
6638,1. there is questioned architectural distortion in the upper inner left breast.
6639,1. there is questioned architectural distortion in the upper inner left breast at anterior depth.
6640,1. there is questioned architectural distortion in the upper inner left breast at mid depth.
6641,1. there is questioned architectural distortion in the upper inner left breast at posterior depth.
6642,1. there is questioned architectural distortion in the lower outer left breast.
6643,1. there is questioned architectural distortion in the lower outer left breast at anterior depth.
6644,1. there is questioned architectural distortion in the lower outer left breast at mid depth.
6645,1. there is questioned architectural distortion in the lower outer left breast at posterior depth.
6646,1. there is questioned architectural distortion in the lower inner left breast.
6647,1. there is questioned architectural distortion in the lower inner left breast at anterior depth.
6648,1. there is questioned architectural distortion in the lower inner left breast at mid depth.
6649,1. there is questioned architectural distortion in the lower inner left breast at posterior depth.
6650,1. there is questioned architectural distortion in the subareolar left breast.
6651,1. there is questioned architectural distortion in the subareolar left breast at anterior depth.
6652,1. there is questioned architectural distortion in the subareolar left breast at mid depth.
6653,1. there is questioned architectural distortion in the subareolar left breast at posterior depth.
6654,1. there is questionable architectural distortion in the left breast.
6655,1. there is questionable architectural distortion in the left breast at anterior depth.
6656,1. there is questionable architectural distortion in the left breast at mid depth.
6657,1. there is questionable architectural distortion in the left breast at posterior depth.
6658,1. there is questionable architectural distortion in the upper left breast.
6659,1. there is questionable architectural distortion in the upper left breast at anterior depth.
6660,1. there is questionable architectural distortion in the upper left breast at mid depth.
6661,1. there is questionable architectural distortion in the upper left breast at posterior depth.
6662,1. there is questionable architectural distortion in the lower left breast.
6663,1. there is questionable architectural distortion in the lower left breast at anterior depth.
6664,1. there is questionable architectural distortion in the lower left breast at mid depth.
6665,1. there is questionable architectural distortion in the lower left breast at posterior depth.
6666,1. there is questionable architectural distortion in the inner left breast.
